date,nav
2017-02-21,1.1498
2017-02-22,1.1497
2017-02-23,1.1467
2017-02-24,1.1461
2017-02-26,2.2927
2017-02-27,1.1454
2017-02-28,1.1453
2017-03-01,1.1444
2017-03-02,1.1441
2017-03-03,1.1436
2017-03-05,2.2868
2017-03-06,1.1432
2017-03-07,1.143
2017-03-08,1.1426
2017-03-09,1.141
2017-03-10,1.1408
2017-03-12,2.2816
2017-03-13,1.1412
2017-03-14,1.1407
2017-03-15,1.1407
2017-03-16,1.1402
2017-03-17,1.1401
2017-03-19,2.2797
2017-03-20,1.1395
2017-03-21,1.1388
2017-03-22,1.1385
2017-03-23,1.1384
2017-03-24,1.1383
2017-03-26,2.2763
2017-03-27,1.1382
2017-03-28,1.1376
2017-03-29,1.1374
2017-03-30,1.1372
2017-03-31,1.1149
2017-04-04,4.4524
2017-04-05,1.1128
2017-04-06,1.1294
2017-04-07,1.1284
2017-04-09,2.2562
2017-04-10,1.128
2017-04-11,1.1293
2017-04-12,1.1322
2017-04-13,1.1321
2017-04-14,1.1318
2017-04-16,2.2632
2017-04-17,1.1314
2017-04-18,1.1333
2017-04-19,1.1335
2017-04-20,1.1334
2017-04-21,1.1333
2017-04-23,2.2663
2017-04-24,1.1331
2017-04-25,1.1328
2017-04-26,1.1329
2017-04-27,1.1325
2017-04-28,1.1324
2017-05-01,3.3965
2017-05-02,1.1319
2017-05-03,1.1318
2017-05-04,1.1316
2017-05-05,1.1316
2017-05-07,2.2627
2017-05-08,1.1298
2017-05-09,1.1298
2017-05-10,1.1288
2017-05-11,1.1279
2017-05-12,1.1278
2017-05-14,2.2553
2017-05-15,1.0388
2017-05-16,1.0391
2017-05-17,1.0598
2017-05-18,1.056
2017-05-19,1.0546
2017-05-21,2.1092
2017-05-22,1.0885
2017-05-23,1.0888
2017-05-24,1.0889
2017-05-25,1.0888
2017-05-26,1.0886
2017-05-30,4.3533
2017-05-31,1.088
2017-06-01,1.0883
2017-06-02,1.0884
2017-06-04,2.1764
2017-06-05,1.0616
2017-06-06,1.062
2017-06-07,1.0617
2017-06-08,0.9839
2017-06-09,1.0002
2017-06-11,1.8864
2017-06-12,0.9602
2017-06-13,0.9606
2017-06-14,0.9614
2017-06-15,0.9323
2017-06-16,0.9237
2017-06-18,1.8491
2017-06-19,0.9602
2017-06-20,0.9593
2017-06-21,0.9592
2017-06-22,0.9775
2017-06-23,1.0288
2017-06-25,2.0604
2017-06-26,0.9883
2017-06-27,0.9782
2017-06-28,1.0616
2017-06-29,1.1176
2017-06-30,1.1322
2017-07-02,2.2658
2017-07-03,1.1327
2017-07-04,1.1326
